광산명,광종,시도,시군구,읍면동,리
(가)보문,석탄,대전,동구,낭월동,
(가)삼청,석탄,대전,동구,삼괴동,
덕명,비금속,대전,유성구,구암동,
평촌,금속,대전,대덕구,신탄진동,
보원,비금속,충북,괴산군,감물면,광전리
안민동,금속,충북,괴산군,감물면,광전리
인창,비금속,충북,괴산군,감물면,구월리
심불,비금속,충북,괴산군,감물면,매전리
증자동,금속,충북,괴산군,감물면,매전리
서일,비금속,충북,괴산군,괴산읍,검승리
우진,금속,충북,괴산군,괴산읍,능촌리
(가)신항,금속,충북,괴산군,괴산읍,신항리
광덕,비금속,충북,괴산군,문광면,광덕리
삼탄-삼덕,석탄,강원,정선군,고한읍,고한리
문광규석,비금속,충북,괴산군,문광면,신기리
옥성,석탄,충북,괴산군,문광면,옥성리
만정,금속,충북,괴산군,불정면,삼방리
삼신,금속,충북,괴산군,불정면,삼방리
어래,금속,충북,괴산군,불정면,삼방리
(가)신흥리,금속,충북,괴산군,불정면,신흥리
웅동,비금속,충북,괴산군,불정면,웅동리
(가)웅동리,비금속,충북,괴산군,불정면,웅동리
괴산철,금속,충북,괴산군,불정면,삼방리
건일,금속,충북,괴산군,불정면,창산리
대일규석,비금속,충북,괴산군,불정면,창산리
보영,금속,충북,괴산군,불정면,창산리
범진,금속,충북,괴산군,사리면,수암리
창금,금속,충북,괴산군,사리면,이곡리
창금산,금속,충북,괴산군,사리면,이곡리
철수,금속,충북,괴산군,사리면,이곡리
소암,금속,충북,괴산군,사리면,사담리
괴산고령토,비금속,충북,괴산군,소수면,소암리
소암,금속,충북,괴산군,소수면,소암리
연풍장석,비금속,충북,괴산군,연풍면,갈금리
대불,비금속,충북,괴산군,연풍면,원풍리
대불(109),비금속,충북,괴산군,연풍면,원풍리
수풍,비금속,충북,괴산군,연풍면,원풍리
(가)신풍리,비금속,충북,괴산군,연풍면,원풍리
연풍도양(조령),금속,충북,괴산군,연풍면,원풍리
원풍,금속,충북,괴산군,연풍면,원풍리
풍령,비금속,충북,괴산군,연풍면,원풍리
"만장(004만장,005만장)",금속,충북,괴산군,연풍면,유상리
유봉,비금속,충북,괴산군,연풍면,유하리
(가)삼우,비금속,충북,괴산군,연풍면,유하리
입석,금속,충북,괴산군,연풍면,적석리
입석,금속,충북,괴산군,연풍면,적석리
입석,비금속,충북,괴산군,연풍면,적석리
금강석회,비금속,충북,괴산군,연풍면,주진리
연풍장석,비금속,충북,괴산군,연풍면,주진리
천보,금속,충북,괴산군,연풍면,행촌리
(가)행촌리,비금속,충북,괴산군,연풍면,행촌리
만정,금속,충북,괴산군,장연면,송덕리
삼원,금속,충북,괴산군,장연면,오가리
장풍,금속,충북,괴산군,장연면,오가리
삼조광업,비금속,충북,괴산군,장연면,추점리
성보(옥진),금속,충북,괴산군,청안면,문방리
신흥석회,비금속,충북,괴산군,청안면,부흥리
수정광산,금속,충북,괴산군,사리면,수암리
금화,금속,충북,괴산군,청안면,장암리
장암,금속,충북,괴산군,청안면,장암리
장암석회석,비금속,충북,괴산군,청안면,장암리
조천광산,금속,충북,괴산군,청안면,조천리
(가)조천리,금속,충북,괴산군,청안면,조천리
황암,금속,충북,괴산군,청안면,조천리
입장,금속,충북,괴산군,청안면,금신리
청안(칠보),금속,충북,괴산군,청안면,효근리
고촌,금속,충북,괴산군,청안면,효근리
청천,금속,충북,괴산군,청천면,고성리
조봉,금속,충북,괴산군,청천면,귀만리
청천,비금속,충북,괴산군,청천면,귀만리
(가)덕평리,금속,충북,괴산군,청천면,덕평리
동성,석탄,충북,괴산군,청천면,덕평리
청천,금속,충북,괴산군,청천면,무릉리
부흥,비금속,충북,괴산군,청천면,삼락리
대원,금속,충북,괴산군,청천면,삼송리
오성실업,비금속,충북,괴산군,청천면,삼송리
"천년,천대",금속,충북,괴산군,청천면,삼송리
청천,금속,충북,괴산군,청천면,신월리
태응,금속,충북,괴산군,청천면,운교리
청천,금속,충북,괴산군,청천면,후평리
칠성,비금속,충북,괴산군,칠성면,비도리
삼혁규석,비금속,충북,괴산군,칠성면,송동리
칠성,금속,충북,괴산군,칠성면,외사리
(가)지곡,금속,충북,괴산군,칠성면,율지리
칠보,금속,충북,괴산군,칠성면,율지리
영춘납석,비금속,충북,단양군,가곡면,가대리
(가)가곡,금속,충북,단양군,가곡면,대대리
단양보천,금속,충북,단양군,가곡면,대대리
향남,금속,충북,단양군,가곡면,대대리
대덕(269),석탄,충북,단양군,가곡면,대대리
삼일,석탄,충북,단양군,가곡면,대대리
보발석회,비금속,충북,단양군,가곡면,보발리
대성보성,석탄,충북,단양군,가곡면,보발리
보성,석탄,충북,단양군,가곡면,보발리
보은흥일,석탄,충북,단양군,가곡면,보발리
은곡(130),금속,충북,단양군,가곡면,사평리
여천,비금속,충북,단양군,가곡면,여천리
백광여천,비금속,충북,단양군,가곡면,여천리
대현납석,비금속,충북,단양군,가곡면,보발리
영성활석(464흥국),비금속,충북,옥천군,이원면,지탄리
봉양규석,비금속,충북,단양군,단성면,가산리
대강,비금속,충북,단양군,단성면,가산리
사봉,비금속,충북,단양군,단성면,고평리
(가)대잠리,금속,충북,단양군,단성면,대잠리
두항활석,비금속,충북,단양군,단성면,두항리
(가)양당,비금속,충북,단양군,단성면,양당리
(가)양당아연,금속,충북,단양군,단성면,양당리
구미형석,비금속,충북,단양군,단성면,외중방리
대덕(115),금속,충북,단양군,단성면,장회리
제2구성,비금속,충북,단양군,단성면,장회리
덕운,비금속,충북,단양군,단성면,중방리
태백,비금속,충북,단양군,단성면,중방리
봉양,석탄,충북,단양군,단성면,회산리
유양,금속,충북,단양군,단성면,회산리
연천,금속,충북,단양군,단양읍,금곡리
대성창원,석탄,충북,단양군,단양읍,노동리
백광석회석,비금속,충북,단양군,단양읍,노동리
한일석회,비금속,충북,단양군,단양읍,노동리
대강,비금속,충북,단양군,단양읍,덕상리
단양(234),석탄,충북,단양군,단양읍,덕상리
단양덕상,석탄,충북,단양군,단양읍,덕상리
단양석회,비금속,충북,단양군,단양읍,현천리
충남신광석회,비금속,충북,단양군,단양읍,상진리
장자,비금속,충북,단양군,단양읍,심곡리
거도,비금속,충북,단양군,단양읍,천동리
덕상,비금속,충북,단양군,단양읍,현천리
용암,금속,충남,서산시,고북면,용암리
연봉,금속,충북,단양군,대강면,괴평리
대성,비금속,충북,단양군,대강면,두음리
양명,금속,충남,부여군,임천면,구교리
미선(222),비금속,충북,단양군,대강면,두음리
가은,금속,충북,단양군,적성면,상리
성경,비금속,충북,단양군,대강면,두음리
신화,비금속,충북,단양군,대강면,두음리
미노,비금속,충북,단양군,대강면,미노리
소백,비금속,충북,단양군,대강면,올산리
(가)올산리,비금속,충북,단양군,대강면,올산리
대강규석,비금속,충북,단양군,대강면,황정리
문강,금속,충북,단양군,대강면,직티리
천은,비금속,충북,단양군,매포읍,고양리
신광,비금속,충북,단양군,매포읍,매포리
삼곡,금속,충북,단양군,매포읍,삼곡리
청림,비금속,충북,단양군,매포읍,고양리
한일,비금속,충북,단양군,매포읍,상괴리
삼곡,금속,충북,단양군,매포읍,영천리
한흥실업미원석회,비금속,충북,단양군,매포읍,영천리
도담,비금속,충북,단양군,매포읍,매포리
청양,금속,충남,청양군,장평면,지천리
부국석회,비금속,충북,단양군,어상천면,대전리
석교석회,비금속,충북,단양군,어상천면,석교리
석교석회,비금속,충북,단양군,어상천면,석교리
태창,비금속,충북,단양군,어상천면,연곡리
태창석회,비금속,충북,단양군,어상천면,연곡리
어상천2,금속,충북,단양군,어상천면,임현리
어상천1,금속,충북,단양군,어상천면,임현리
영춘규석,비금속,충북,단양군,영춘면,남천리
대동,비금속,충북,단양군,영춘면,동대리
대창,비금속,충북,단양군,영춘면,동대리
선우단양,비금속,충북,단양군,영춘면,동대리
동대석회,비금속,충북,단양군,영춘면,동대리
옥풍,금속,충북,단양군,영춘면,동대리
제일동대,비금속,충북,단양군,영춘면,동대리
송전,비금속,충북,단양군,영춘면,만종리
세영벤토나이트,비금속,충북,단양군,영춘면,사이곡리
영춘제2석회,비금속,충북,단양군,영춘면,사이곡리
국일,비금속,충북,단양군,영춘면,사지원리
영춘(197),비금속,충북,단양군,영춘면,사지원리
장선,석탄,충북,단양군,영춘면,사지원리
대현납석,비금속,충북,단양군,영춘면,상리
영춘(241),석탄,충북,단양군,영춘면,상리
영춘혜주,석탄,충북,단양군,영춘면,상리
태남,석탄,충북,단양군,영춘면,상리
오사리,비금속,충북,단양군,영춘면,오사리
보림,비금속,충북,단양군,적성면,각기리
(가)기동리,비금속,충북,단양군,적성면,기동리
가은,석탄,경북,문경시,가은읍,왕능리
양지,금속,충남,보령시,청소면,정전리
단양철,금속,충북,단양군,적성면,상리
앙성고령토,비금속,충북,단양군,적성면,파랑리
경일,비금속,충북,단양군,적성면,하리
백석,비금속,충북,단양군,적성면,하리
적성,비금속,충북,단양군,적성면,하리
적성석회,비금속,충북,단양군,적성면,하리
원곡석회석,비금속,충북,단양군,적성면,하원곡리
유진 (상곡광산 인접 동시사업 추진),금속,충북,단양군,적성면,하원곡리
단진,비금속,충북,단양군,적성면,하진리
대양운무,금속,충북,보은군,마로면,기대리
유정,금속,충북,보은군,마로면,기대리
청산,비금속,충북,보은군,마로면,원정리
단천1,비금속,충북,보은군,마로면,소여리
단천2,석탄,충북,보은군,마로면,소여리
옥보,비금속,충북,보은군,마로면,오천리
성하,석탄,충북,보은군,마로면,원정리
청산,석탄,충북,보은군,마로면,원정리
금흥,비금속,충북,보은군,마로면,임곡리
옥천,비금속,충북,옥천군,군북면,대정리
대원,비금속,충북,보은군,산외면,대원리
(가)익수,석탄,충북,보은군,산외면,대원리
(가)백석리,금속,충북,보은군,산외면,백석리
산대,석탄,충북,보은군,산외면,산대리
산외,금속,충북,보은군,산외면,탁주리
보은대일,금속,충북,보은군,회남면,분저리
대상,비금속,충북,보은군,회남면,은운리
보은,석탄,충북,보은군,회남면,조곡리
무극(492무주),금속,충북,음성군,금왕읍,용계리
신원,석탄,충북,보은군,회인면,갈티리
석숭,비금속,충북,보은군,회인면,건천리
성광,비금속,충북,보은군,회인면,건천리
기덕,비금속,충북,보은군,회인면,송평리
부국,석탄,충북,보은군,회인면,송평리
우일,석탄,충북,보은군,회인면,송평리
(가)내동,금속,충북,영동군,매곡면,노천리
노천리,금속,충북,영동군,매곡면,노천리
매곡,금속,충북,영동군,매곡면,옥전리
옥매,비금속,충북,영동군,매곡면,
옥전,금속,충북,영동군,매곡면,옥전리
